Link,Abstract,DOI
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196717196&doi=10.1016%2fj.jallcom.2024.175310&partnerID=40&md5=3cb6484c250d4d3177bde6c8c1caa9f0,"To address the challenges posed by the high density and low plasticity at room temperature of traditional refractory high entropy alloys (RHEAs), the MoNbVTa0.5Cr RHEA was synthesized through a combination of mechanical alloying (MA) and spark plasma sintering (SPS) techniques. The effects of different sintering temperatures on the microstructure and mechanical properties of the alloy were systematically studied. The MoNbVTa0.5Cr RHEA milled up to 60 h was found to have a metastable dual-phase containing a major BCC (a = 3.1474 Å) and Nb-Ta (a = 3.3058 Å) phase. The sintered MoNbVTa0.5Cr RHEA was composed of BCC phase and a small amount of Ta2VO6 at different sintering temperatures. There were a lot of edge dislocations in the BCC matrix near the BCC/Ta2VO6 interface. With the increase of sintering temperature, the grain size of sintered MoNbVTa0.5Cr RHEA gradually increased, while the mechanical properties gradually decreased with the increase of sintering temperature. When the sintering temperature was 1500 °C, the grain size of the alloy was 2.33 μm, the yield strength was 2783 MPa, the compressive strength was 3346 MPa, and the fracture strain was 20.45 %, showing the best comprehensive properties. And the density of MoNbVTa0.5Cr RHEA was 9.11 g·cm−3 and 26 % lower than that of WNbMoTaV RHEA. The specific yield strength of MoNbVTa0.5Cr RHEA prepared in this research was 295.28 kPa·m3·kg−1, which was superior to most RHEAs reported so far. This sintered MoNbVTa0.5Cr RHEA showed an excellent room temperature compression performance, which can be attributed to the co-existence of BCC phase along with the minor Ta2VO6 phases. The high yield strength of MoNbVTa0.5Cr RHEA was mainly attributed to the substitutional solid solution strengthening of metal atoms, the interstitial solid solution strengthening of O atoms and the grain boundary strengthening of ultrafine grains, with contributions to yield strength of 41 %, 28 %, and 24 %, respectively. © 2024 Elsevier B.V.",
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193430156&doi=10.1016%2fj.compositesb.2024.111555&partnerID=40&md5=7f6284966d8c538246b2494e647ca584,"Traditional refractory high-entropy alloys (RHEAs) generally exhibit a trade-off between high-temperature strength and light weight. In present work, a novel design strategy based on tailoring element distribution is proposed to achieve excellent high-temperature strength at a density lower than 7 g cm−3. Specifically, a Ti40Nb15Mo30(NbC)15 composite was designed and prepared by powder metallurgy. The composite is found to be composed of two ultrafine-grained (UFG) phases including a body-centered cubic (bcc) solid-solution phase and a face-centered cubic (fcc) ceramic reinforcement phase (Ti, Nb)C. The as-sintered composite shows a uniform and UFG microstructure where two phases are interconnected. Due to this unique microstructure, the Ti40Nb15Mo30(NbC)15 composite displays superb specific yield strengths among surveyed RHEAs, complex concentrated alloys, and metal-matrix composites from 800 °C (243 MPa g−1 cm3) to 1000 °C (127 MPa g−1 cm3). The outstanding high-temperature compressive strength was found to be associated with high resistance to dislocation motion and strong dislocation interactions in both the bcc and fcc phases. The phase interface after hot compression remained semi-coherent, vindicating its high stability. The high-density of stable phase interfaces not only retards the dislocation motion due to the large image force near the phase boundary but also induces a high value of activation energy for diffusion. The high activation energy can further achieve significant microstructure stability even after a long-term annealing (36 h) at 1000 °C. This work provides new perspectives for the design and application of light and ultrastrong refractory complex concentrated alloys (RCCAs) by comparison to the insufficient strength of many traditional and light RCCAs. © 2024 Elsevier Ltd",
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188694051&doi=10.1016%2fj.ijrmhm.2024.106668&partnerID=40&md5=ce6563709b2bcc6c010f3d2b1480a13b,"The trade-off between high-temperature strength and room-temperature ductility represents a critical concern for practical application of refractory high-entropy alloys (RHEAs). Here, a set of five Re0.1HfxTa1.6W0.4(TaC)y refractory medium-entropy alloys (RMEAs) were fabricated using the vacuum arc melting technique, and the effect of Hf and C on the microstructures and mechanical properties of these alloys was investigated. These RMEAs exhibit excellent high-temperature strength and favorable plasticity at room-temperature. The microstructures of the Re0.1HfxTa1.6W0.4(TaC)y alloys are hypoeutectic or eutectic structures, consisting of BCC solid solution and primary and secondary carbides. The carbides can be classified into two types: M2C and MC. Hf and C have an important influence on the grain size, carbide type and spatial configuration of the alloy, and in turn, influence the mechanical properties of the alloy. For instance, the content of MC-type carbides is proportional to the addition of Hf element, whereby a higher proportion of Hf results in reduced plasticity at room-temperature and enhanced softening resistance at elevated temperatures in the alloy. The carbides and BCC matrix exhibit synergistic strengthening behavior. The ultimate compressive strength of the five Re0.1HfxTa1.6W0.4(TaC)y alloys at 1450 °C is >950 MPa, while maintaining a fracture strain exceeding 11% at room-temperature. Notably, the Re0.1Hf0.1Ta1.6W0.4(TaC)0.25 alloy demonstrates a compressive strength of 1110 MPa at 1450 °C, which is 2.3 times greater than that of the NbMoTaW alloy at 1400 °C. Additionally, the fracture strain of the Re0.1Hf0.1Ta1.6W0.4(TaC)0.25 alloy at room-temperature is 16.9%, which is 8 times higher than that of the NbMoTaW alloy. The Re0.1HfxTa1.6W0.4(TaC)y alloy exhibit excellent mechanical properties at both room and high temperatures, making it a potential candidate for applications in fields that require high strength at ultra-high temperatures. © 2024 Elsevier Ltd",
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199426321&doi=10.1016%2fS1003-6326%2824%2966536-2&partnerID=40&md5=562fc33d3771712cbe4f87e2bcea8ef1,"Refractory Mo0.5NbTiVCr0.25 high-entropy alloy coatings were fabricated on TC4 substrates using laser cladding technology. The coatings were aged at 600, 800 and 1000 °C for 24 h and then water-cooled. The phase composition, microstructure, and mechanical properties of the high-entropy alloy coatings were investigated using X-ray diffraction (XRD), scanning electron microscopy (SEM), electron backscattered diffraction (EBSD), transmission electron microscopy (TEM), Vickers hardness testing and universal friction wear testing. The results showed that high-entropy alloy coatings retained a body-centered cubic structure after different aging heat treatments. After the aging heat treatment at 800 °C, the coatings exhibited Ti-rich precipitation phases, which were verified as Ti(O,N) face-centered cubic structures by TEM technique. The optimum aging temperature was 600 °C and the hardness of the coating was HV0.2 410. The wear mechanisms of the coatings were adhesive and abrasive wear. © 2024 The Nonferrous Metals Society of China",
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189904042&doi=10.1007%2fs40195-024-01686-0&partnerID=40&md5=9f02d0cd94d35b0e94804cfead08f5c6,"Interstitial strengthening with nitrogen (N) is one of the effective ways to improve the mechanical properties of HEAs, but the effects of N on the microstructures and mechanical properties of the irradiated HEAs have not been studied extensively. Here, the microstructures and mechanical properties of N-free and N-doped Ti2ZrNbV0.5Mo0.2 HEAs before and after He irradiation were investigated. The results showed that the solid solution strengthening caused by interstitial N improved the yield strength at room temperature and 1023 K without significantly reducing plasticity. N doping significantly promoted the growth, aggregation and wider spatial distribution of He bubbles by enhancing the mobility of He atoms/He-vacancy complexes, with the average size of He bubbles increasing from 10.4 nm in N-free HEA to 31.0 nm in N-doped HEA. In addition, N-doped HEA showed a much higher irradiation hardness increment and hardening fraction than N-free HEA. Contrary to conventional materials doped with N, the introduction of N into Ti2ZrNbV0.5Mo0.2 HEA had adverse effects on its resistance to He bubble growth and irradiation hardening. The results of this study indicated that N doping may not improve the irradiation resistance of HEAs. © The Chinese Society for Metals (CSM) and Springer-Verlag GmbH Germany, part of Springer Nature 2024.",
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188069286&doi=10.1002%2fadem.202301797&partnerID=40&md5=a8ba561b3d976a9c3910d641508f755e,"Body-centered-cubic refractory high-entropy alloys are promising for high-temperature structural applications due to their exceptional properties, particularly in terms of yield strength at elevated temperatures. For certain alloy systems, such as Mo–Ti–Cr–Al, both disordered (A2) and ordered (B2) crystal structures are possible. In this particular system, a solid-state transformation from A2 to B2 during cooling occurs. For Al concentrations above ≈10 at%, B2 order is obtained from the transformation temperature down to room temperature (RT), while A2 is stable above RT below the critical Al content. Herein, two alloys from the Mo–Ti–Cr–Al system close to the transition between A2 and B2 are investigated. Nanoindentation tests reveal that the magnitude of strain rate sensitivity for both alloys is small compared to classical alloys, however, significantly temperature dependent up to the strength plateau temperatures. The yield strength plateau, which is insensitive to the strain rate, is observed at temperatures exceeding 573 K. Modeling of solid solution strengthening reproduces the experimental data in the Al-lean A2 alloys. However, the observed discontinuous increase of strength in the Al-rich B2 alloys can only be rationalized by the appearance of B2 order and to no significant other obvious strengthening mechanisms. © 2024 The Authors. Advanced Engineering Materials published by Wiley-VCH GmbH.",
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181217420&doi=10.1007%2fs11665-023-09097-5&partnerID=40&md5=9d82ce2a9f88f4dfc1e88713d0b35e60,"High entropy alloy has a wide application prospect in the field of national defense because of its unique design concept, excellent mechanical properties, and impact energy release characteristics. In this paper, HfZrTiTaNbCu x (x = 0.2/0.8) refractory high entropy alloy was studied. The static/dynamic compression experiments of HfZrTiTaNbCu x at different strain rates were carried out by universal testing machine and split Hopkinson pressure bar (SHPB), respectively. The static/dynamic compression stress–strain relationships of HfZrTiTaNbCu x with different contents of trace elements were obtained. The Johnson–Cook dynamic constitutive equation parameters suitable for HfZrTiTaNbCu x high entropy alloy were determined by fitting, and the accuracy of the dynamic constitutive equation parameters was verified by ABAQUS numerical simulation. The results showed that under quasi-static loading conditions, the I-II composite cracks occurred, and the material exhibited an obvious work hardening phenomenon. The yield strength and compressive strength of the high entropy alloy increased with the increase in Cu content, but the toughness decreased. The strain rate effect was obvious under dynamic loading. The fitting constitutive parameters can accurately predict the dynamic mechanical properties of HfZrTiTaNbCu x high entropy alloy. © 2024, ASM International.",
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175016758&doi=10.1016%2fj.commatsci.2023.112612&partnerID=40&md5=db0dc2f2e00fbea682334d059ef9329d,"This paper details an alloy design effort by machine learning (ML) attempting to design novel refractory high entropy alloys (RHEAs) with exceptional mechanical properties at elevated temperatures and good room temperature ductility. For this purpose, four datasets were generated by mining the data available in literature, containing room temperature strength, high temperature strength, room temperature ductility and hardness, which were trained by three different ML models, namely the support vector regression, random forest, and artificial neural network. As a result, three novel RHEA compositions were predicted, and their performances were experimentally validated. Specifically, the Ti8Nb21Zr27Ta13Mo19V12, Ti10Nb19Zr15Ta43Mo7V6, and Ti10Nb20Zr37Mo21V12 RHEAs were produced and subjected to room-temperature and high-temperature compression, and room-temperature hardness tests, which have demonstrated that especially the Ti8Nb21Zr27Ta13Mo19V12 and the Ti10Nb20Zr37Mo21V12 RHEAs exhibit both high strength at elevated temperatures and good room-temperature ductility. The current study not only contributes to the literature by presenting three novel RHEAs, but also constitutes an encouraging example of efficient alloy design by ML for demanding applications. © 2023 Elsevier B.V.",
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196182483&doi=10.1016%2fj.msea.2024.146828&partnerID=40&md5=e9a1bd745f11da82a2debbad177896ca,"Recently, Al-containing refractory high/medium-entropy alloys (RH/MEAs) have attracted special attention from materials scientists worldwide. Some of these alloys demonstrated an excellent combination of high-temperature strength and room-temperature tensile ductility provided by the formation of a structure consisting of body-centred cubic (bcc) matrix and B2 nanodomains/particles. However, oxidation resistance and phase stability, and, more importantly, the resulting mechanical properties of the Al-containing RH/MEAs, which are critical characteristics for high-temperature structural materials, remain unexplored. Herein, these aspects were extensively investigated for the Al7.5(NbTiZr)92.5 (in at%) alloy having an initial bcc + B2 structure. The alloy was subjected to long-term (500 h) annealing or oxidation tests at 600, 700, and 800 °C followed by the evaluation of mechanical properties during uniaxial tension at 22 and 600 °C. Microstructural studies of the specimens exposed to long-term annealing showed the formation of Zr5Al3 particles that precipitated along the grain boundaries and within grain interiors. The volume fraction of these particles was the highest (∼16 %) after annealing at 600 °C and the lowest (∼0.5 %) after annealing at 800 °C. Oxidation tests revealed that the alloy was prone to pesting phenomena, which intensified with the temperature. The alloy could sustain pesting only up to 10 h at 600 °C, while it experienced a complete disintegration into powder after 5 h at 800 °C. The poor oxidation resistance originated from the formation of volumetric, non-protective (Al,Nb,Ti,Zr)O4 oxide. While insignificantly affecting the strength, long-term annealing or oxidation deteriorated the ductility of the Al7.5(NbTiZr)92.5 alloy both at 22 and 600 °C. The Zr5Al3 phase embrittled the alloy after long-term annealing at 600 or 700 °C, but marginally reduced the ductility in the 800°C-annealed specimens due to the low volume fraction and relatively homogeneous distribution of this phase. The oxidation for 1 h decreased the room-temperature ductility owing to the premature macroscopic localisation of plastic deformation induced by synergistic effects from the volumetric (Al,Nb,Ti,Zr)O4 oxide. This study highlights the necessity for the examination of a set of properties of promising RH/MEAs to critically assess perspectives of these alloys to find applications as new high-temperature materials in aircraft and aerospace sectors. © 2024 Elsevier B.V.",
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204777920&doi=10.1016%2fj.ijrmhm.2024.106884&partnerID=40&md5=3bf90cfa85d121e6e6fa435300e6ee4f,"Machine learning has been widely applied to materials research with the development of artificial intelligence. Here, a new framework mainly based on the LightGBM algorithm was proposed, which predicted the yield strength of refractory high-entropy alloys (RHEAs) in various temperatures. The features of T, D·B, μ, Smix, Gmix and r were recognized as the optimal feature set by several feature screening methods. The framework displayed good prediction results with a coefficient of determination (R2) of 0.9605 and a root mean square error (RMSE) of 111.99 MPa in the test set. A series of RHEA samples validated the generalization of this framework. SHAP with pearson correlation constant (PCC) and maximal information coefficient (MIC) interpreted the framework and analyzed the intrinsic mechanism of features on yield strength, discovering a novel μ-D·B-Gmix design strategy for obtaining RHEAs with enhanced yield strength. Both TiTaNbHfNi0.25 and TiTaNbHfNi0.5 alloys were fabricated as the experimental verification for this framework which showed 1230 and 1311 MPa yield strength with the predicted errors of 6.3 % and 3.7 %. The validations above demonstrated the excellent performance of the present framework and the effectiveness of such a strategy. © 2024",
